GRUPO,MOTOR,Nombre,Fecha,Falla,Mantenimiento,Tiempo de Reparacion (h),Potencia,Voltaje (V),Corriente (A)
Synthetic group D,SYN-0008,Synthetic motor 0008,2019-07-14,0,1,2.74,11.0,380.0,19.43
Synthetic group A,SYN-0009,Synthetic motor 0009,2016-02-06,1,0,4.79,15.0,220.0,45.77
Synthetic group A,SYN-0009,Synthetic motor 0009,2016-03-23,0,1,2.56,15.0,220.0,45.77
Synthetic group A,SYN-0009,Synthetic motor 0009,2017-03-25,1,0,5.09,15.0,220.0,45.77
Synthetic group A,SYN-0009,Synthetic motor 0009,2017-08-10,0,1,2.52,15.0,220.0,45.77
Synthetic group A,SYN-0009,Synthetic motor 0009,2018-09-16,1,0,11.08,15.0,220.0,45.77
Synthetic group A,SYN-0009,Synthetic motor 0009,2018-11-20,0,1,2.69,15.0,220.0,45.77
Synthetic group B,SYN-0010,Synthetic motor 0010,2015-07-08,1,0,5.44,45.0,220.0,137.32
Synthetic group B,SYN-0010,Synthetic motor 0010,2015-10-08,0,1,7.55,45.0,220.0,137.32
Synthetic group B,SYN-0010,Synthetic motor 0010,2016-07-01,1,0,4.09,45.0,220.0,137.32
Synthetic group B,SYN-0010,Synthetic motor 0010,2016-09-12,0,1,3.45,45.0,220.0,137.32
Synthetic group B,SYN-0010,Synthetic motor 0010,2017-10-19,1,0,9.39,45.0,220.0,137.32
Synthetic group B,SYN-0010,Synthetic motor 0010,2018-02-12,0,1,9.25,45.0,220.0,137.32
Synthetic group C,SYN-0011,Synthetic motor 0011,2015-11-16,1,0,10.92,7.5,220.0,22.89
Synthetic group C,SYN-0011,Synthetic motor 0011,2016-01-08,0,1,6.61,7.5,220.0,22.89
Synthetic group C,SYN-0011,Synthetic motor 0011,2017-01-01,1,0,5.3,7.5,220.0,22.89
Synthetic group C,SYN-0011,Synthetic motor 0011,2017-03-15,0,1,6.46,7.5,220.0,22.89
Synthetic group C,SYN-0011,Synthetic motor 0011,2018-05-22,1,0,2.54,7.5,220.0,22.89
Synthetic group C,SYN-0011,Synthetic motor 0011,2018-10-02,0,1,3.58,7.5,220.0,22.89
Synthetic group D,SYN-0012,Synthetic motor 0012,2015-03-04,1,0,5.93,45.0,220.0,137.32
Synthetic group D,SYN-0012,Synthetic motor 0012,2015-04-18,0,1,6.88,45.0,220.0,137.32
Synthetic group D,SYN-0012,Synthetic motor 0012,2016-05-18,1,0,4.99,45.0,220.0,137.32
Synthetic group D,SYN-0012,Synthetic motor 0012,2016-09-26,0,1,14.09,45.0,220.0,137.32
Synthetic group D,SYN-0012,Synthetic motor 0012,2018-01-08,1,0,6.6,45.0,220.0,137.32
Synthetic group D,SYN-0012,Synthetic motor 0012,2018-04-30,0,1,6.93,45.0,220.0,137.32
Synthetic group A,SYN-0013,Synthetic motor 0013,2016-04-20,1,0,3.5,45.0,440.0,68.66
Synthetic group A,SYN-0013,Synthetic motor 0013,2016-06-24,0,1,5.52,45.0,440.0,68.66
Synthetic group A,SYN-0013,Synthetic motor 0013,2017-05-02,1,0,5.22,45.0,440.0,68.66
Synthetic group A,SYN-0013,Synthetic motor 0013,2017-09-02,0,1,4.35,45.0,440.0,68.66
Synthetic group A,SYN-0013,Synthetic motor 0013,2018-12-04,1,0,12.54,45.0,440.0,68.66
Synthetic group A,SYN-0013,Synthetic motor 0013,2019-02-10,0,1,5.36,45.0,440.0,68.66
Synthetic group B,SYN-0014,Synthetic motor 0014,2015-09-02,1,0,3.9,30.0,220.0,91.55
Synthetic group B,SYN-0014,Synthetic motor 0014,2016-01-11,0,1,8.18,30.0,220.0,91.55
Synthetic group B,SYN-0014,Synthetic motor 0014,2016-10-29,1,0,14.65,30.0,220.0,91.55
Synthetic group B,SYN-0014,Synthetic motor 0014,2017-03-16,0,1,8.79,30.0,220.0,91.55
Synthetic group B,SYN-0014,Synthetic motor 0014,2018-04-08,1,0,11.52,30.0,220.0,91.55
Synthetic group B,SYN-0014,Synthetic motor 0014,2018-06-18,0,1,6.3,30.0,220.0,91.55
Synthetic group C,SYN-0015,Synthetic motor 0015,2015-07-20,1,0,14.42,11.0,220.0,33.57
Synthetic group C,SYN-0015,Synthetic motor 0015,2015-12-15,0,1,4.43,11.0,220.0,33.57
Synthetic group C,SYN-0015,Synthetic motor 0015,2016-10-16,1,0,6.79,11.0,220.0,33.57
Synthetic group C,SYN-0015,Synthetic motor 0015,2017-01-29,0,1,3.07,11.0,220.0,33.57
Synthetic group C,SYN-0015,Synthetic motor 0015,2017-12-23,1,0,6.59,11.0,220.0,33.57
Synthetic group C,SYN-0015,Synthetic motor 0015,2018-04-29,0,1,3.93,11.0,220.0,33.57
Synthetic group D,SYN-0016,Synthetic motor 0016,2015-08-28,1,0,3.28,11.0,440.0,16.78
Synthetic group D,SYN-0016,Synthetic motor 0016,2015-12-31,0,1,1.89,11.0,440.0,16.78
Synthetic group D,SYN-0016,Synthetic motor 0016,2016-09-30,1,0,8.26,11.0,440.0,16.78
Synthetic group D,SYN-0016,Synthetic motor 0016,2016-12-09,0,1,2.19,11.0,440.0,16.78
Synthetic group D,SYN-0016,Synthetic motor 0016,2017-12-09,1,0,4.27,11.0,440.0,16.78
Synthetic group D,SYN-0016,Synthetic motor 0016,2018-04-21,0,1,7.48,11.0,440.0,16.78
Synthetic group A,SYN-0017,Synthetic motor 0017,2015-05-21,1,0,6.17,11.0,220.0,33.57
Synthetic group A,SYN-0017,Synthetic motor 0017,2015-10-12,0,1,1.32,11.0,220.0,33.57
Synthetic group A,SYN-0017,Synthetic motor 0017,2016-08-10,1,0,6.13,11.0,220.0,33.57
Synthetic group A,SYN-0017,Synthetic motor 0017,2016-11-17,0,1,2.95,11.0,220.0,33.57
Synthetic group A,SYN-0017,Synthetic motor 0017,2017-09-24,1,0,4.2,11.0,220.0,33.57
Synthetic group A,SYN-0017,Synthetic motor 0017,2017-11-19,0,1,3.82,11.0,220.0,33.57
Synthetic group B,SYN-0018,Synthetic motor 0018,2016-04-19,1,0,7.55,11.0,380.0,19.43
Synthetic group B,SYN-0018,Synthetic motor 0018,2016-06-07,0,1,2.08,11.0,380.0,19.43
Synthetic group B,SYN-0018,Synthetic motor 0018,2017-03-03,1,0,9.54,11.0,380.0,19.43
Synthetic group B,SYN-0018,Synthetic motor 0018,2017-05-13,0,1,3.65,11.0,380.0,19.43
Synthetic group B,SYN-0018,Synthetic motor 0018,2018-04-23,1,0,3.32,11.0,380.0,19.43
Synthetic group B,SYN-0018,Synthetic motor 0018,2018-08-06,0,1,10.7,11.0,380.0,19.43
Synthetic group C,SYN-0019,Synthetic motor 0019,2015-10-17,1,0,10.53,30.0,220.0,91.55
Synthetic group C,SYN-0019,Synthetic motor 0019,2015-12-18,0,1,7.73,30.0,220.0,91.55
Synthetic group C,SYN-0019,Synthetic motor 0019,2016-11-30,1,0,10.81,30.0,220.0,91.55
Synthetic group C,SYN-0019,Synthetic motor 0019,2017-02-18,0,1,1.61,30.0,220.0,91.55
Synthetic group C,SYN-0019,Synthetic motor 0019,2017-11-14,1,0,5.9,30.0,220.0,91.55
Synthetic group C,SYN-0019,Synthetic motor 0019,2018-03-08,0,1,8.81,30.0,220.0,91.55
Synthetic group D,SYN-0020,Synthetic motor 0020,2015-04-23,1,0,3.87,45.0,220.0,137.32
Synthetic group D,SYN-0020,Synthetic motor 0020,2015-08-04,0,1,4.12,45.0,220.0,137.32
Synthetic group D,SYN-0020,Synthetic motor 0020,2016-05-03,1,0,4.59,45.0,220.0,137.32
Synthetic group D,SYN-0020,Synthetic motor 0020,2016-07-25,0,1,3.44,45.0,220.0,137.32
Synthetic group D,SYN-0020,Synthetic motor 0020,2017-07-10,1,0,6.64,45.0,220.0,137.32
Synthetic group D,SYN-0020,Synthetic motor 0020,2017-09-10,0,1,3.05,45.0,220.0,137.32
Synthetic group A,SYN-0021,Synthetic motor 0021,2015-06-03,1,0,2.37,7.5,220.0,22.89
Synthetic group A,SYN-0021,Synthetic motor 0021,2015-10-18,0,1,4.14,7.5,220.0,22.89
Synthetic group A,SYN-0021,Synthetic motor 0021,2017-01-02,1,0,10.32,7.5,220.0,22.89
Synthetic group A,SYN-0021,Synthetic motor 0021,2017-05-05,0,1,3.61,7.5,220.0,22.89
Synthetic group A,SYN-0021,Synthetic motor 0021,2018-05-08,1,0,7.49,7.5,220.0,22.89
Synthetic group A,SYN-0021,Synthetic motor 0021,2018-08-10,0,1,7.76,7.5,220.0,22.89
Synthetic group B,SYN-0022,Synthetic motor 0022,2015-05-14,1,0,5.85,45.0,440.0,68.66
Synthetic group B,SYN-0022,Synthetic motor 0022,2015-06-29,0,1,4.33,45.0,440.0,68.66
Synthetic group B,SYN-0022,Synthetic motor 0022,2016-08-16,1,0,8.43,45.0,440.0,68.66
Synthetic group B,SYN-0022,Synthetic motor 0022,2016-10-06,0,1,3.52,45.0,440.0,68.66
Synthetic group B,SYN-0022,Synthetic motor 0022,2017-07-14,1,0,6.07,45.0,440.0,68.66
Synthetic group B,SYN-0022,Synthetic motor 0022,2017-10-10,0,1,2.91,45.0,440.0,68.66
Synthetic group C,SYN-0023,Synthetic motor 0023,2015-05-20,1,0,5.38,45.0,220.0,137.32
Synthetic group C,SYN-0023,Synthetic motor 0023,2015-08-12,0,1,12.38,45.0,220.0,137.32
Synthetic group C,SYN-0023,Synthetic motor 0023,2016-12-01,1,0,5.22,45.0,220.0,137.32
Synthetic group C,SYN-0023,Synthetic motor 0023,2017-03-31,0,1,4.93,45.0,220.0,137.32
Synthetic group C,SYN-0023,Synthetic motor 0023,2018-04-30,1,0,9.13,45.0,220.0,137.32
Synthetic group C,SYN-0023,Synthetic motor 0023,2018-08-11,0,1,4.02,45.0,220.0,137.32
Synthetic group D,SYN-0024,Synthetic motor 0024,2015-10-07,1,0,4.33,7.5,440.0,11.44
Synthetic group D,SYN-0024,Synthetic motor 0024,2015-12-11,0,1,4.67,7.5,440.0,11.44
Synthetic group D,SYN-0024,Synthetic motor 0024,2016-09-30,1,0,7.55,7.5,440.0,11.44
Synthetic group D,SYN-0024,Synthetic motor 0024,2017-01-23,0,1,11.68,7.5,440.0,11.44
Synthetic group D,SYN-0024,Synthetic motor 0024,2018-02-14,1,0,7.19,7.5,440.0,11.44
Synthetic group D,SYN-0024,Synthetic motor 0024,2018-06-06,0,1,3.82,7.5,440.0,11.44
Synthetic group A,SYN-0025,Synthetic motor 0025,2015-01-26,1,0,10.32,30.0,220.0,91.55
Synthetic group A,SYN-0025,Synthetic motor 0025,2015-03-31,0,1,9.34,30.0,220.0,91.55
Synthetic group A,SYN-0025,Synthetic motor 0025,2016-04-24,1,0,4.78,30.0,220.0,91.55
Synthetic group A,SYN-0025,Synthetic motor 0025,2016-08-17,0,1,5.55,30.0,220.0,91.55
Synthetic group A,SYN-0025,Synthetic motor 0025,2017-10-16,1,0,4.7,30.0,220.0,91.55
Synthetic group A,SYN-0025,Synthetic motor 0025,2017-12-07,0,1,3.7,30.0,220.0,91.55
Synthetic group B,SYN-0026,Synthetic motor 0026,2015-02-28,1,0,3.76,11.0,440.0,16.78
Synthetic group B,SYN-0026,Synthetic motor 0026,2015-06-11,0,1,6.24,11.0,440.0,16.78
Synthetic group B,SYN-0026,Synthetic motor 0026,2016-04-07,1,0,2.42,11.0,440.0,16.78
Synthetic group B,SYN-0026,Synthetic motor 0026,2016-06-12,0,1,2.2,11.0,440.0,16.78
Synthetic group B,SYN-0026,Synthetic motor 0026,2017-09-19,1,0,6.22,11.0,440.0,16.78
Synthetic group B,SYN-0026,Synthetic motor 0026,2018-01-16,0,1,2.05,11.0,440.0,16.78
Synthetic group C,SYN-0027,Synthetic motor 0027,2016-03-14,1,0,4.64,11.0,220.0,33.57
Synthetic group C,SYN-0027,Synthetic motor 0027,2016-05-18,0,1,4.62,11.0,220.0,33.57
Synthetic group C,SYN-0027,Synthetic motor 0027,2017-08-11,1,0,3.84,11.0,220.0,33.57
Synthetic group C,SYN-0027,Synthetic motor 0027,2017-12-13,0,1,8.6,11.0,220.0,33.57
Synthetic group C,SYN-0027,Synthetic motor 0027,2019-03-19,1,0,4.05,11.0,220.0,33.57
Synthetic group C,SYN-0027,Synthetic motor 0027,2019-07-29,0,1,3.09,11.0,220.0,33.57
Synthetic group D,SYN-0028,Synthetic motor 0028,2015-05-06,1,0,11.7,11.0,440.0,16.78
Synthetic group D,SYN-0028,Synthetic motor 0028,2015-08-03,0,1,11.94,11.0,440.0,16.78
Synthetic group D,SYN-0028,Synthetic motor 0028,2016-08-23,1,0,6.08,11.0,440.0,16.78
Synthetic group D,SYN-0028,Synthetic motor 0028,2016-12-19,0,1,3.03,11.0,440.0,16.78
Synthetic group D,SYN-0028,Synthetic motor 0028,2018-01-05,1,0,3.11,11.0,440.0,16.78
Synthetic group D,SYN-0028,Synthetic motor 0028,2018-05-03,0,1,5.5,11.0,440.0,16.78
Synthetic group A,SYN-0029,Synthetic motor 0029,2015-12-08,1,0,6.89,15.0,380.0,26.5
Synthetic group A,SYN-0029,Synthetic motor 0029,2016-02-12,0,1,7.61,15.0,380.0,26.5
Synthetic group A,SYN-0029,Synthetic motor 0029,2016-12-23,1,0,7.55,15.0,380.0,26.5
Synthetic group A,SYN-0029,Synthetic motor 0029,2017-05-03,0,1,7.01,15.0,380.0,26.5
Synthetic group A,SYN-0029,Synthetic motor 0029,2018-01-28,1,0,4.88,15.0,380.0,26.5
Synthetic group A,SYN-0029,Synthetic motor 0029,2018-06-19,0,1,15.37,15.0,380.0,26.5
Synthetic group B,SYN-0030,Synthetic motor 0030,2016-04-09,1,0,4.92,30.0,380.0,53.0
Synthetic group B,SYN-0030,Synthetic motor 0030,2016-06-17,0,1,8.24,30.0,380.0,53.0
Synthetic group B,SYN-0030,Synthetic motor 0030,2017-05-31,1,0,2.98,30.0,380.0,53.0
Synthetic group B,SYN-0030,Synthetic motor 0030,2017-10-26,0,1,3.55,30.0,380.0,53.0
Synthetic group B,SYN-0030,Synthetic motor 0030,2019-02-04,1,0,5.54,30.0,380.0,53.0
Synthetic group B,SYN-0030,Synthetic motor 0030,2019-04-15,0,1,3.16,30.0,380.0,53.0
Synthetic group C,SYN-0031,Synthetic motor 0031,2015-06-12,1,0,5.66,45.0,380.0,79.5
Synthetic group C,SYN-0031,Synthetic motor 0031,2015-09-21,0,1,4.17,45.0,380.0,79.5
Synthetic group C,SYN-0031,Synthetic motor 0031,2016-08-27,1,0,4.79,45.0,380.0,79.5
Synthetic group C,SYN-0031,Synthetic motor 0031,2016-12-02,0,1,3.4,45.0,380.0,79.5
Synthetic group C,SYN-0031,Synthetic motor 0031,2018-03-16,1,0,7.01,45.0,380.0,79.5
Synthetic group C,SYN-0031,Synthetic motor 0031,2018-05-16,0,1,2.95,45.0,380.0,79.5
Synthetic group D,SYN-0032,Synthetic motor 0032,2015-09-17,1,0,10.36,30.0,440.0,45.77
Synthetic group D,SYN-0032,Synthetic motor 0032,2016-02-08,0,1,2.88,30.0,440.0,45.77
Synthetic group D,SYN-0032,Synthetic motor 0032,2017-04-10,1,0,14.94,30.0,440.0,45.77
Synthetic group D,SYN-0032,Synthetic motor 0032,2017-08-08,0,1,5.48,30.0,440.0,45.77
Synthetic group D,SYN-0032,Synthetic motor 0032,2018-07-29,1,0,4.25,30.0,440.0,45.77
Synthetic group D,SYN-0032,Synthetic motor 0032,2018-11-26,0,1,2.7,30.0,440.0,45.77
Synthetic group A,SYN-0033,Synthetic motor 0033,2015-05-31,1,0,5.76,22.0,440.0,33.57
Synthetic group A,SYN-0033,Synthetic motor 0033,2015-08-29,0,1,8.84,22.0,440.0,33.57
Synthetic group A,SYN-0033,Synthetic motor 0033,2016-08-23,1,0,6.86,22.0,440.0,33.57
Synthetic group A,SYN-0033,Synthetic motor 0033,2016-12-20,0,1,3.56,22.0,440.0,33.57
Synthetic group A,SYN-0033,Synthetic motor 0033,2018-01-28,1,0,13.09,22.0,440.0,33.57
Synthetic group A,SYN-0033,Synthetic motor 0033,2018-06-12,0,1,3.38,22.0,440.0,33.57
Synthetic group B,SYN-0034,Synthetic motor 0034,2015-07-06,1,0,7.19,15.0,440.0,22.89
Synthetic group B,SYN-0034,Synthetic motor 0034,2015-11-22,0,1,9.17,15.0,440.0,22.89
Synthetic group B,SYN-0034,Synthetic motor 0034,2016-12-17,1,0,7.26,15.0,440.0,22.89
Synthetic group B,SYN-0034,Synthetic motor 0034,2017-04-13,0,1,3.44,15.0,440.0,22.89
Synthetic group B,SYN-0034,Synthetic motor 0034,2018-07-29,1,0,3.86,15.0,440.0,22.89
Synthetic group B,SYN-0034,Synthetic motor 0034,2018-10-28,0,1,7.3,15.0,440.0,22.89
Synthetic group C,SYN-0035,Synthetic motor 0035,2015-10-23,1,0,3.91,11.0,440.0,16.78
Synthetic group C,SYN-0035,Synthetic motor 0035,2015-12-26,0,1,4.52,11.0,440.0,16.78
Synthetic group C,SYN-0035,Synthetic motor 0035,2016-10-31,1,0,8.24,11.0,440.0,16.78
Synthetic group C,SYN-0035,Synthetic motor 0035,2017-01-07,0,1,5.84,11.0,440.0,16.78
Synthetic group C,SYN-0035,Synthetic motor 0035,2017-11-16,1,0,2.93,11.0,440.0,16.78
Synthetic group C,SYN-0035,Synthetic motor 0035,2018-03-22,0,1,4.38,11.0,440.0,16.78
Synthetic group D,SYN-0036,Synthetic motor 0036,2022-09-01,1,0,3.54,15.0,220.0,45.77
Synthetic group D,SYN-0036,Synthetic motor 0036,2022-10-26,0,1,6.36,15.0,220.0,45.77
Synthetic group D,SYN-0036,Synthetic motor 0036,2023-08-19,1,0,6.13,15.0,220.0,45.77
Synthetic group D,SYN-0036,Synthetic motor 0036,2023-11-05,0,1,5.96,15.0,220.0,45.77
Synthetic group D,SYN-0036,Synthetic motor 0036,2024-08-25,1,0,5.89,15.0,220.0,45.77
Synthetic group D,SYN-0036,Synthetic motor 0036,2024-10-19,0,1,5.07,15.0,220.0,45.77
Synthetic group A,SYN-0037,Synthetic motor 0037,2022-03-05,1,0,7.54,7.5,440.0,11.44
Synthetic group A,SYN-0037,Synthetic motor 0037,2022-05-24,0,1,2.3,7.5,440.0,11.44
Synthetic group A,SYN-0037,Synthetic motor 0037,2023-03-27,1,0,14.66,7.5,440.0,11.44
Synthetic group A,SYN-0037,Synthetic motor 0037,2023-06-24,0,1,9.27,7.5,440.0,11.44
Synthetic group A,SYN-0037,Synthetic motor 0037,2024-04-03,1,0,7.01,7.5,440.0,11.44
Synthetic group A,SYN-0037,Synthetic motor 0037,2024-05-24,0,1,1.57,7.5,440.0,11.44
Synthetic group B,SYN-0038,Synthetic motor 0038,2022-01-23,1,0,5.15,22.0,440.0,33.57
Synthetic group B,SYN-0038,Synthetic motor 0038,2022-05-31,0,1,6.24,22.0,440.0,33.57
Synthetic group B,SYN-0038,Synthetic motor 0038,2023-05-08,1,0,10.47,22.0,440.0,33.57
Synthetic group B,SYN-0038,Synthetic motor 0038,2023-07-13,0,1,2.31,22.0,440.0,33.57
Synthetic group B,SYN-0038,Synthetic motor 0038,2024-03-10,1,0,6.65,22.0,440.0,33.57
Synthetic group B,SYN-0038,Synthetic motor 0038,2024-05-20,0,1,5.52,22.0,440.0,33.57
Synthetic group C,SYN-0039,Synthetic motor 0039,2022-07-11,1,0,6.23,11.0,380.0,19.43
Synthetic group C,SYN-0039,Synthetic motor 0039,2022-08-25,0,1,3.02,11.0,380.0,19.43
Synthetic group C,SYN-0039,Synthetic motor 0039,2023-05-31,1,0,12.97,11.0,380.0,19.43
Synthetic group C,SYN-0039,Synthetic motor 0039,2023-07-23,0,1,3.44,11.0,380.0,19.43
Synthetic group C,SYN-0039,Synthetic motor 0039,2024-05-04,1,0,6.56,11.0,380.0,19.43
Synthetic group C,SYN-0039,Synthetic motor 0039,2024-09-06,0,1,4.54,11.0,380.0,19.43
Synthetic group D,SYN-0040,Synthetic motor 0040,2022-10-05,1,0,7.07,30.0,220.0,91.55
Synthetic group D,SYN-0040,Synthetic motor 0040,2023-01-08,0,1,13.21,30.0,220.0,91.55
Synthetic group D,SYN-0040,Synthetic motor 0040,2024-01-11,1,0,11.13,30.0,220.0,91.55
Synthetic group D,SYN-0040,Synthetic motor 0040,2024-04-27,0,1,2.87,30.0,220.0,91.55
Synthetic group D,SYN-0040,Synthetic motor 0040,2025-02-14,1,0,3.86,30.0,220.0,91.55
Synthetic group D,SYN-0040,Synthetic motor 0040,2025-06-30,0,1,5.85,30.0,220.0,91.55
Synthetic group A,SYN-0041,Synthetic motor 0041,2022-02-20,1,0,9.04,22.0,440.0,33.57
Synthetic group A,SYN-0041,Synthetic motor 0041,2022-05-11,0,1,6.66,22.0,440.0,33.57
Synthetic group A,SYN-0041,Synthetic motor 0041,2023-04-06,1,0,13.17,22.0,440.0,33.57
Synthetic group A,SYN-0041,Synthetic motor 0041,2023-08-22,0,1,1.76,22.0,440.0,33.57
Synthetic group A,SYN-0041,Synthetic motor 0041,2024-06-05,1,0,9.15,22.0,440.0,33.57
Synthetic group A,SYN-0041,Synthetic motor 0041,2024-10-19,0,1,8.34,22.0,440.0,33.57
Synthetic group B,SYN-0042,Synthetic motor 0042,2022-04-01,1,0,6.85,30.0,440.0,45.77
Synthetic group B,SYN-0042,Synthetic motor 0042,2022-05-17,0,1,4.44,30.0,440.0,45.77
Synthetic group B,SYN-0042,Synthetic motor 0042,2023-05-14,1,0,7.23,30.0,440.0,45.77
Synthetic group B,SYN-0042,Synthetic motor 0042,2023-06-30,0,1,11.52,30.0,440.0,45.77
Synthetic group B,SYN-0042,Synthetic motor 0042,2024-05-23,1,0,11.19,30.0,440.0,45.77
Synthetic group B,SYN-0042,Synthetic motor 0042,2024-07-27,0,1,7.07,30.0,440.0,45.77
Synthetic group C,SYN-0043,Synthetic motor 0043,2022-04-26,1,0,22.2,22.0,220.0,67.13
Synthetic group C,SYN-0043,Synthetic motor 0043,2022-09-11,0,1,2.22,22.0,220.0,67.13
Synthetic group C,SYN-0043,Synthetic motor 0043,2023-08-28,1,0,6.36,22.0,220.0,67.13
Synthetic group C,SYN-0043,Synthetic motor 0043,2023-11-12,0,1,7.46,22.0,220.0,67.13
Synthetic group C,SYN-0043,Synthetic motor 0043,2024-11-15,1,0,4.14,22.0,220.0,67.13
Synthetic group C,SYN-0043,Synthetic motor 0043,2025-02-27,0,1,4.52,22.0,220.0,67.13
Synthetic group D,SYN-0044,Synthetic motor 0044,2022-08-20,1,0,7.59,11.0,380.0,19.43
Synthetic group D,SYN-0044,Synthetic motor 0044,2022-12-05,0,1,3.05,11.0,380.0,19.43
Synthetic group D,SYN-0044,Synthetic motor 0044,2023-10-20,1,0,4.97,11.0,380.0,19.43
